epoch,time,energy_loss,gamma_acc,gamma_loss,loss,time_dist_loss,val_energy_loss,val_gamma_acc,val_gamma_loss,val_loss,val_time_dist_loss
0,2020-06-04 09:31:20.336053,-42.55297187499056,0.09110981397355532,2.9999713642291197,7.721645518204933,4.764227125850803,-70.25242202711269,0.05864448051948052,2.51305942575111,7.060622910213358,4.617815906489359
1,2020-06-04 09:31:46.632719,-43.792746071445464,0.10415450600208107,2.8814641992999466,7.5061822906349445,4.668510837406443,-69.87310628160672,0.171875,2.3826099055312473,6.901893705957025,4.589156906707384
2,2020-06-04 09:32:11.696893,-43.560648420830276,0.12212268101413598,2.737306914223361,7.349627249358838,4.655880983556309,-69.91952934717936,0.16913555194805194,2.2397510875680746,6.751836621784363,4.582005063563468
3,2020-06-04 09:32:36.754220,-42.16095854617932,0.14724767149709414,2.571132822642439,7.1771450465249655,4.648173182428706,-69.13405130955557,0.16426542207792208,2.0480419449155765,6.556617892320537,4.577709998714516
4,2020-06-04 09:33:01.796222,-36.31398727410359,0.19879197015455677,2.3337158160439384,6.9425405121376915,4.645138683367856,-67.77329230436963,0.1593952922077922,1.7490889717855618,6.250972063402124,4.5696563839209325
5,2020-06-04 09:33:26.803034,-25.263913460334965,0.2799279242697257,1.9936178890682212,6.630868450220131,4.662514474612245,-65.92327949281008,0.6394074675324676,1.3507078533523238,5.855913398915279,4.571128825055766
6,2020-06-04 09:33:51.963331,-20.95788639320517,0.3770778874704972,1.7147057260819107,6.354271996790445,4.66052415710174,-66.19142948370025,0.7020089285714286,1.1807416393605594,5.679743834240634,4.565193624363775
7,2020-06-04 09:34:17.058371,-17.78708196325948,0.4764104256021115,1.5292643187582415,6.163234178763209,4.651756941968227,-65.99022882607984,0.7063717532467533,1.086490298883115,5.58464991126861,4.564149841211575
8,2020-06-04 09:34:42.219004,-15.888081552284794,0.5265588914549654,1.4324326863854564,6.056834241462678,4.640289636629507,-65.82630062533973,0.7061688311688312,1.0448878824925325,5.566153312270079,4.587091730402887
9,2020-06-04 09:35:07.162660,-16.768711853847893,0.54389259701038,1.3814066213254235,5.9976870311820285,4.633049121710451,-64.30993630574044,0.7088068181818182,1.0134310279223442,5.512616485094067,4.563495393477462
10,2020-06-04 09:35:31.987063,-15.435792884188563,0.5645001649620587,1.3325887089112578,5.94462460163799,4.627471685610922,-61.20096152526877,0.7272727272727273,0.9614611474996605,5.456791422668983,4.556531236694592
11,2020-06-04 09:35:56.511466,-12.719014101176889,0.609623632718321,1.2416531315763808,5.854899949876043,4.625965832400838,-59.95154013657779,0.7594358766233766,0.9102312893183622,5.4115164560735725,4.561236706891789
12,2020-06-04 09:36:20.603100,-13.270059807499242,0.6306118823439839,1.196305316593765,5.801528053502789,4.6184927967165255,-58.52200849546683,0.757913961038961,0.8898646783110424,5.375098626664324,4.54375595684875
13,2020-06-04 09:36:44.931924,-12.935605981373484,0.6402050605283862,1.1691445065700299,5.766134923978913,4.6099260233902575,-56.79859114022101,0.7660308441558441,0.8719903380280029,5.352247038791143,4.53705529190336
14,2020-06-04 09:37:09.021714,-12.364963569824681,0.6486561936908357,1.1613993238715075,5.745105766733384,4.596071406431701,-54.95164895538348,0.7764813311688312,0.8590899419631868,5.337190933052386,4.533052640044582
15,2020-06-04 09:37:33.212624,-11.943932287824902,0.6625130066238611,1.1394855197367493,5.7037142117372275,4.5761726242883025,-53.486888992494464,0.7755681818181818,0.8472669469700627,5.315345772608178,4.52156571463061
16,2020-06-04 09:37:57.581436,-11.27971019116241,0.6681470953988276,1.1202592427342042,5.653297494708454,4.544317962165413,-50.779340807918096,0.7797280844155844,0.8356918442002057,5.297624776540527,4.51271227314824
17,2020-06-04 09:38:21.810087,-10.716650545486495,0.6713955790168261,1.1046417396933497,5.59833674917121,4.504411660023346,-49.04573813897874,0.7791193181818182,0.8232809239871502,5.320762034461827,4.546526848613655
18,2020-06-04 09:38:45.823457,-10.072593669726748,0.6746694414130904,1.0971537957687874,5.544217990920893,4.457136788821832,-46.53583783065033,0.778612012987013,0.8153708048349421,5.388150548301084,4.619315581296792
19,2020-06-04 09:39:10.094223,-9.373596712837973,0.6794406517270258,1.0857020219598643,5.489926456048589,4.413598030801561,-43.83042395787672,0.7790178571428571,0.8058622421391013,5.560587897225846,4.798556079044621
20,2020-06-04 09:39:34.183460,-8.801224461893895,0.6820800446666497,1.0731890619300284,5.421677937571909,4.357290100103772,-41.61770270032188,0.7691761363636364,0.8051478714895905,5.717405926746549,4.953875757957281
21,2020-06-04 09:39:58.236732,-8.457321756947085,0.6835266350277898,1.0642836102015856,5.356827288174279,4.3010009997296414,-39.89495161575936,0.7646103896103896,0.7876820209786187,5.872811460070832,5.125024390707973
22,2020-06-04 09:40:22.686883,-8.104617993502128,0.6842118620409613,1.0464788845266144,5.265851292645181,4.227477026112067,-37.88126829953281,0.7566964285714286,0.7656514346051652,5.817472212920352,5.08970204661472
23,2020-06-04 09:40:46.773280,-7.489350224074849,0.688577011902647,1.0194255057855102,5.134365794897334,4.122429639335898,-36.083948525239926,0.739448051948052,0.7469150081990162,6.188856385057356,5.478025325383579
24,2020-06-04 09:41:11.025116,-6.992194081196266,0.6876126183285537,1.0012106247300414,5.005293781380439,4.011075350731593,-35.16969830097113,0.7294034090909091,0.7259656817737259,6.116306866297546,5.425510882824792
25,2020-06-04 09:41:35.400914,-6.5360478305312,0.6970535238433622,0.9629476378280075,4.844763473222751,3.888351883225275,-34.36238476305354,0.747463474025974,0.6723318670386972,6.061038905947741,5.423069423672096
26,2020-06-04 09:41:59.828584,-6.274855339494242,0.7183970763647438,0.9202999393627442,4.636834906661015,3.7228098226377635,-33.5653557600439,0.8162540584415584,0.6492598971368632,6.196581391622549,5.58088685024573
27,2020-06-04 09:42:24.118776,-5.900379126576771,0.7268228307489277,0.9032922062898691,4.463782047710659,3.5663902205473663,-32.76187061942658,0.8487215909090909,0.6309760958194522,6.378390345582163,5.780176120382138
28,2020-06-04 09:42:48.342993,-5.737922412730003,0.7345887368982057,0.8783408556557661,4.257956384190996,3.3853534509479593,-32.04623334003037,0.8624188311688312,0.6151822035282626,6.328210323158647,5.7450743529704145
29,2020-06-04 09:43:12.689831,-5.610025606402661,0.7432936578433115,0.866014323600535,4.092398553584597,3.2319942555904655,-31.6917692008522,0.864752435064935,0.6034343348391316,6.317164185084609,5.745421619446329
30,2020-06-04 09:43:36.808269,-5.516911172536652,0.7513387305535112,0.8448691492138384,3.9660161920167347,3.1266639539754326,-31.723931707648244,0.8660714285714286,0.5906015801997648,6.705420773794277,6.14654312530216
31,2020-06-04 09:44:00.837533,-5.48867918666911,0.7549932746237596,0.8295888887260673,3.85247387624315,3.028373666703752,-31.648502855158696,0.8664772727272727,0.5781580340220501,6.821355975469062,6.274846444302172
32,2020-06-04 09:44:25.073434,-5.508595132043962,0.7623023627642566,0.8119004355182124,3.727999814511615,2.9216079741254464,-31.341098223405943,0.8661728896103896,0.5670882490028243,7.396309208345557,6.86056205756614
33,2020-06-04 09:44:49.262605,-5.449867255491096,0.7642057711341776,0.8014502430336903,3.647722158986627,2.8517217832084287,-31.09507461970787,0.8666801948051948,0.5556630034642457,7.024930450101398,6.500362521256862
34,2020-06-04 09:45:13.714878,-5.5513897490767885,0.7714641017181433,0.7858520117280882,3.5647744916600708,2.7844738696810594,-31.263646529029277,0.8662743506493507,0.5457385995915289,7.150551694136166,6.6360767410736665
35,2020-06-04 09:45:38.060335,-5.630629792380064,0.7764383422582037,0.7739668848088365,3.4761845212188716,2.707848266202416,-31.20011499707904,0.8661728896103896,0.5353445555287674,6.49323967799455,5.989095237462861
36,2020-06-04 09:46:02.487041,-5.685688293902587,0.78207243103317,0.7576133011074879,3.378060258887443,2.626132646073857,-31.277915814481336,0.8659699675324676,0.5268593410911764,7.02767606910998,6.532094643833283
37,2020-06-04 09:46:26.525839,-5.733119751573499,0.7878080349211989,0.7421837415543974,3.295379423307404,2.5589288015045795,-31.329673771347956,0.8659699675324676,0.5166468898069937,6.685404623873797,6.200087407838152
38,2020-06-04 09:46:50.675759,-5.759904504235966,0.7901428825216354,0.7320333988048874,3.199434470012307,2.4731609757116555,-31.269886541768887,0.8652597402597403,0.5091267628784377,6.63067381461312,6.15281693827645
39,2020-06-04 09:47:14.745597,-5.775721725486205,0.794381138491993,0.7164796015595835,3.124041209666903,2.4133373298328054,-31.456852090868754,0.8656655844155844,0.5004795559077561,6.127300792763001,5.658278088946114
40,2020-06-04 09:47:38.820567,-5.805639989956628,0.8009288632845215,0.7008137276177665,3.0368983664944253,2.341890278866614,-31.377525653001506,0.8656655844155844,0.49249039141395506,6.192203570392676,5.731090704631724
